source_name,table_name,column_data_type,column_name,enriched,column_data_mode,tag_version,data_criticality,column_description,attribute_type,sensitivity_type,policy_tag,operation,table_version
IAG,iag_cgu_policy_analytical,STRING,policy_number,FALSE,NULLABLE,1,Not assessed,The Policy Identifier that Customer receives,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,policy_period,FALSE,REQUIRED,1,Not assessed,Policy Period ID,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,quote_number,FALSE,NULLABLE,1,Not assessed,The Quote Identifier that Customer receives,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,job_name,FALSE,REQUIRED,1,Not assessed,"The name of a policy transaction (i.e policy job), e.g. Cancellation / Policy Change / Reinstatement / Submission / Renewal",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,job_number,FALSE,REQUIRED,1,Not assessed,"A business identifier of a job, if the job is submission, then job number will be the same as quote number. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,policy_status_name,FALSE,REQUIRED,1,Not assessed,"The status of a job. For Cancellation / Reinstatement / Policy Change, the policy Status will always be Bound. For Submission, status could be quoted or bound (or any other final status e.g. Decline, Withdrawn, Not Taken). For Renewal, status could be Renewing or Bound (or any other final status e.g. Not-Taken, Not Renewed, Withdrawn)",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,brand_name,FALSE,REQUIRED,1,Not assessed,Always going to be {partner},Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,product_name,FALSE,REQUIRED,1,Not assessed,"The name of the product, it could be Home / Car / Landlord.",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,policy_producer_code,FALSE,REQUIRED,1,Not assessed,"The producer of the policy, it follows the pattern of {partner}_PARTNER_{Product}",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,INTEGER,term_number,FALSE,NULLABLE,1,Not assessed,"The term number of a policy. For policy migrated from QBE to IAG, the term number of migration renewal term will start from 1. ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,term_type,FALSE,NULLABLE,1,Not assessed,"Indicate if it is a New Business or Renewal. For Policy migrated from QBE to IAG, the term type would be ""Renewal"". ",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,term_start_date,FALSE,REQUIRED,1,Not assessed,The start date of the policy term,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,term_end_date,FALSE,REQUIRED,1,Not assessed,The end date of the policy term. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,written_date,FALSE,REQUIRED,1,Not assessed,"The date this period was created. For Reinstatement, it will be the create date the policy period that reinstatement job trying to reinstated.",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,policy_period_edit_effective_date,FALSE,REQUIRED,1,Not assessed,The effective date a policy transaction / job is taking effective. It could be either future dated or back dated. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,TIMESTAMP,job_close_date,FALSE,REQUIRED,1,Not assessed,"The finalization date of a policy transaction. It will ONLY be populated when a policy transaction achieves a final status (e.g. Bound, Not Taken, Decline). However, {partner} have requested IF this is NULL, then populate the Written_date's value into this field so to help design CDC",Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,jurisdiction_name,FALSE,REQUIRED,1,Not assessed,The State the Policy Period is based in. ,Native,Non-sensitive,Internal-A-V1,I,1
IAG,iag_cgu_policy_analytical,STRING,distribution_channel_name,FALSE,REQUIRED,1,Not assessed,Always going to be Partner for {partner}. ,Native,Non-sensitive,Internal-A-V1,I,1
