attribute_name,data_type
Name,string
FinServ__Status__c,string
Industry_Code__c,string
ShippingAddress,string
BillingAddress,string
Operating_Address__c,string
Primary_Country_Code__c,string
Phone,string
Secondary_Country_Code__c,string
Secondary_Phone_Number__c,string
cm_Email_Address__c,string
LLC_BI__Branch__c,string
External_Reference__c,string
OIC_Number__c,string
FirstName,string
MiddleName,string
LastName,string
Suffix__pc,string
PersonBirthdate,string
PersonGenderIdentity,string
PersonOtherPhone,string
PersonEmail,string
Employment_Status__c,string
Verbal_Password__pc,string
ANZSCO_Code__c,string
FinServ__Age__pc,string
FinServ__CustomerID__c,string
PersonDoNotCall,string
Do_Not_Call__c,string
FinServ__KYCDate__c,string
FinServ__KYCStatus__c,string
ABN__c,string
LLC_BI__Account_Review__c,string
Australian_Company_Number__c,string
FinServ__BranchCode__c,string
LLC_BI__Comments__c,string
Communication_Preference__c,string
CreatedById,string
Created_from_Lead__c,string
FinServ__ReferredByContact__pc,string
FinServ__ReferredByUser__c,string
PersonLeadSource,string
Lead_Source__c,string
Marketing_Opt_Out__c,string
FinServ__NextReview__c,string
Bus_Mail_Addr__c,string
Bus_Mail_Add_Same_as_Phya__c,string
Preferred_Mailing_Address__c,string
FinServ__PreferredName__pc,string
LastModifiedDate,string
ParentId,string
LLC_BI__Established_Country__c,string
Company_Registration_Number__c,string
Institution_Code__c,string
Registration_Date__C,string
Registration_Number__c,string
Organisation_Classificaton__c,string
Entity_Type__pc,string
