attribute_name,data_type
Name,string
Organisation_Classification_2__c,string
ANZSIC_Code__c,string
ShippingStreet,string
Mailing_Address_Line_2__c,string
ShippingCity,string
ShippingStateCode,string
ShippingPostalCode,string
ShippingCountryCode,string
BillingStreet,string
Registered_Address_Line_2__c,string
BillingCity,string
BillingStateCode,string
BillingPostalCode,string
BillingCountryCode,string
Primary_Country_Code__c,string
Phone,string
Secondary_Country_Code__c,string
Secondary_Phone_Number__c,string
WorkEmail_Address__c,string
FinServ__BranchCode__c,string
External_Reference__c,string
FirstName,string
MiddleName,string
LastName,string
Suffix__pc,string
PersonBirthdate,string
PersonMailingStreet,string
Residential_Address_Line_2__c,string
PersonMailingCity,string
PersonMailingStateCode,string
PersonMailingPostalCode,string
PersonMailingCountryCode,string
PersonOtherPhone,string
PersonEmail,string
cm_Email_Address__c,string
Verbal_Password__pc,string
ANZSCO_Code__r,string
FinServ__KYCStatus__c,string
ABN__c,string
Australian_Company_Number__c,string
Marketing_Opt_Out__c,string
Business_Mailing_Address_Same_as_Physical__c,string
Preferred_Mailing_Address__c,string
Company_Registration_Number__c,string
Institution_Code__c,string
Registration_Date__C,string
Registration_Number__c,string
Organisation_Classification__c,string
RecordType,string
